id,tbracket,game,winner
1,1,1,
2,1,2,
3,1,3,
4,1,4,
5,1,5,
6,1,6,
7,1,7,
8,1,8,
9,1,9,
10,1,10,
11,1,11,
12,1,12,
13,1,13,
14,1,14,
15,1,15,
16,1,16,
17,1,17,
18,1,18,
19,1,19,
20,1,20,
21,1,21,
22,1,22,
23,1,23,
24,1,24,
25,1,25,
26,1,26,
27,1,27,
28,1,28,
29,1,29,
30,1,30,
31,1,31,
32,1,32,
33,1,33,
34,1,34,
35,1,35,
36,1,36,
37,1,37,
38,1,38,
39,1,39,
40,1,40,
41,1,41,
42,1,42,
43,1,43,
44,1,44,
45,1,45,
46,1,46,
47,1,47,
48,1,48,
49,1,49,
50,1,50,
51,1,51,
52,1,52,
53,1,53,
54,1,54,
55,1,55,
56,1,56,
57,1,57,
58,1,58,
59,1,59,
60,1,60,
61,1,61,
62,1,62,
63,1,63,
64,2,1,
65,2,2,
66,2,3,
67,2,4,
68,2,5,
69,2,6,
70,2,7,
71,2,8,
72,2,9,
73,2,10,
74,2,11,
75,2,12,
76,2,13,
77,2,14,
78,2,15,
79,2,16,
80,2,17,
81,2,18,
82,2,19,
83,2,20,
84,2,21,
85,2,22,
86,2,23,
87,2,24,
88,2,25,
89,2,26,
90,2,27,
91,2,28,
92,2,29,
93,2,30,
94,2,31,
95,2,32,
96,2,33,
97,2,34,
98,2,35,
99,2,36,
100,2,37,
101,2,38,
102,2,39,
103,2,40,
104,2,41,
105,2,42,
106,2,43,
107,2,44,
108,2,45,
109,2,46,
110,2,47,
111,2,48,
112,2,49,
113,2,50,
114,2,51,
115,2,52,
116,2,53,
117,2,54,
118,2,55,
119,2,56,
120,2,57,
121,2,58,
122,2,59,
123,2,60,
124,2,61,
125,2,62,
126,2,63,
